电流,电压,电功,热功,温度
0,506.8829372,0,1.92E-16,20.00002061
0,506.8946543,0,2.01E-15,20.00002423
0,506.9063154,0,-1.06E-15,20.00002815
0,506.9174543,0,4.12E-16,20.00003219
0,506.9285465,0,1.57E-15,20.0000365
0,506.9433042,0,-1.87E-16,20.00004268
0,506.9490748,0,3.93E-16,20.00004524
0,506.9534456,0,-1.85E-16,20.00004724
0,506.9578097,0,-2.33E-16,20.00004927
0,506.9621672,0,-3.25E-16,20.00005135
0,506.9709292,0,-3.29E-16,20.00005567
0,506.9953534,0,3.76E-15,20.0000687
0,507.050977,0,-2.54E-14,20.0001039
0,507.0846961,0,2.25E-15,20.00012909
0,507.1180648,0,-1.39E-16,20.00015695
0,507.1688034,0,3.40E-15,20.00020502
0,507.2187591,0,1.35E-16,20.00025927
0,507.2798814,0,7.32E-16,20.00033531
0,507.3831847,0,1.99E-14,20.00048896
0,507.4633266,0,8.53E-17,20.00063113
0,507.5414966,0,-3.46E-14,20.00079014
0,507.6177636,0,-1.51E-14,20.00096557
0,507.6921882,0,-5.90E-15,20.001157
0,507.7648251,0,-8.19E-15,20.00136401
0,507.8357193,0,-7.89E-15,20.00158618
0,507.921837,0,-7.47E-14,20.00188415
0,508.0053727,0,3.39E-14,20.00220431
0,508.0863869,0,-1.42E-14,20.00254586
0,508.2612175,0,-1.08E-14,20.00339598
0,508.3974134,0,-2.13E-14,20.00417847
0,508.5255168,0,-1.20E-14,20.00502414
0,508.6458082,0,1.02E-14,20.00592855
0,508.6958442,0,-4.26E-14,20.0063401
0,508.7734401,0,-2.36E-13,20.00702199
0,508.8144126,0,-1.27E-14,20.00740488
0,508.8544277,0,-1.60E-14,20.00779498
0,508.8968886,0,-2.28E-14,20.00822755
0,508.9382371,0,-2.58E-14,20.00866829
0,508.9785006,0,9.15E-15,20.00911701
0,509.0176906,0,1.12E-14,20.00957357
0,509.0582299,0,-4.86E-15,20.01006801
0,509.0975563,0,8.72E-14,20.01057096
0,509.1574797,0,3.41E-15,20.01138589
0,509.2144071,0,-5.68E-14,20.01222114
0,509.3031374,0,-5.91E-14,20.01366373
0,509.3837225,0,-7.49E-14,20.01515835
0,509.4578051,0,-8.47E-14,20.01673514
0,509.4764306,0,-5.09E-15,20.01716961
0,509.4853793,0,1.20E-14,20.01738414
0,509.4942183,0,7.59E-15,20.01759949
0,509.5029554,0,-1.02E-14,20.01781565
0,509.5152841,0,-1.34E-14,20.01812624
0,509.532058,0,-7.93E-15,20.01855967
0,509.5484495,0,-1.26E-14,20.01899622
0,509.5644336,0,2.39E-15,20.01943585
0,509.5799542,0,8.07E-15,20.0198785
0,509.5890498,0,5.77E-15,20.0201468
0,509.5955225,0,5.37E-15,20.02034305
0,509.6001544,0,3.95E-15,20.02048711
0,509.6046688,0,4.18E-15,20.02063146
0,509.6070214,0,-1.51E-15,20.02070842
0,509.6093391,0,2.39E-15,20.02078545
0,509.6126068,0,3.44E-15,20.02089612
0,509.6210954,0,1.04E-14,20.02119454
0,509.631288,0,1.59E-15,20.02157383
0,509.6409641,0,7.33E-15,20.02195493
0,509.6502152,0,3.27E-15,20.0223378
0,509.6561189,0,1.28E-15,20.02259145
0,509.6596313,0,-1.15E-14,20.02274566
0,509.6631418,0,-3.41E-16,20.02290215
0,509.6639964,0,-2.84E-16,20.0229406
0,509.6644121,0,-1.42E-16,20.02295936
0,509.6646513,0,-3.41E-16,20.02297016
0,509.6647931,0,1.14E-16,20.02297657
0,509.6648476,0,-5.68E-17,20.02297904
0,509.6648848,0,1.99E-16,20.02298072
0,509.6649128,0,-2.84E-17,20.02298199
0,509.6649409,0,-1.14E-16,20.02298326
0,509.6649594,0,8.53E-17,20.0229841
0,509.6649602,0,3.13E-16,20.02298413
0,509.6649627,0,-1.14E-16,20.02298425
0,509.6649665,0,-3.69E-16,20.02298442
0,509.6649748,0,1.14E-16,20.02298479
0,509.6649893,0,1.71E-16,20.02298545
0,509.6650038,0,0,20.02298611
0,509.6650184,0,8.53E-17,20.02298677
0,509.6650369,0,1.42E-16,20.02298761
0,509.6650618,0,8.53E-17,20.02298873
0,509.6650944,0,2.84E-17,20.02299021
0,509.6651369,0,-2.84E-16,20.02299213
0,509.6651951,0,-8.53E-17,20.02299477
0,509.6652829,0,-2.27E-16,20.02299874
0,509.6654353,0,-2.84E-17,20.02300564
0,509.6657635,0,1.14E-16,20.02302051
0,509.6666447,0,8.53E-17,20.02306046
0,509.6686474,0,2.56E-16,20.02315143
0,509.6722076,0,-5.12E-16,20.02331372
0,509.6783477,0,-9.95E-16,20.0235953
0,509.6885346,0,-5.03E-15,20.02406695
0,509.704022,0,1.28E-15,20.02479474
0,509.725452,0,5.94E-15,20.02582312
0,509.7466118,0,9.44E-15,20.02686275
0,509.7675133,0,8.95E-15,20.02791348
0,509.7939181,0,1.95E-13,20.02927632
0,509.8403342,0,1.52E-12,20.03177648
0,509.8852066,0,-1.64E-13,20.03433196
0,509.9494077,0,-8.99E-13,20.03826065
0,510.0098315,0,-9.41E-13,20.04230093
0,510.0483348,0,4.24E-13,20.04507925
0,510.0577496,0,-2.65E-13,20.04578576
0,510.0617587,0,-6.85E-15,20.04609012
0,510.0623527,0,4.83E-16,20.04613539
0,510.0623794,0,0,20.04613743
0,510.0623836,0,1.99E-16,20.04613775
0,510.0623841,0,0,20.04613779
0,510.0623841,0,2.56E-16,20.04613779
0,510.0623841,0,-5.68E-17,20.04613779
0,510.0623841,0,8.53E-17,20.04613779
0,510.0623842,0,8.53E-17,20.04613779
0,510.0623842,0,-2.84E-17,20.04613779
0,510.0623842,0,2.27E-16,20.04613779
0,510.0623842,0,1.99E-16,20.04613779
0,510.0623842,0,3.13E-16,20.04613779
0,510.0623842,0,1.14E-16,20.0461378
0,510.0623842,0,-2.84E-17,20.0461378
0,510.0623842,0,8.53E-17,20.0461378
0,510.0623843,0,-2.56E-16,20.0461378
0,510.0623844,0,2.27E-16,20.04613781
0,510.0623845,0,-2.84E-17,20.04613782
0,510.0623846,0,0,20.04613783
0,510.0623847,0,-1.14E-16,20.04613783
0,510.0623848,0,0,20.04613784
0,510.0623849,0,-1.14E-16,20.04613785
0,510.0623851,0,2.84E-17,20.04613787
0,510.0623853,0,1.71E-16,20.04613788
0,510.0623856,0,3.41E-16,20.0461379
0,510.062386,0,-5.68E-17,20.04613794
0,510.0623866,0,-2.84E-16,20.04613798
0,510.0623873,0,2.56E-16,20.04613803
0,510.0623883,0,-1.71E-16,20.04613811
0,510.0623899,0,-8.53E-17,20.04613824
0,510.0623925,0,2.84E-16,20.04613843
0,510.0623966,0,-8.53E-17,20.04613874
0,510.0624034,0,1.71E-16,20.04613927
0,510.0624153,0,1.42E-16,20.04614019
0,510.0624301,0,-5.68E-17,20.04614134
0,510.0624531,0,-2.56E-16,20.04614317
0,510.0625013,0,-5.68E-17,20.04614707
0,510.0625895,0,1.99E-16,20.04615456
0,510.0627476,0,2.84E-17,20.04616926
0,510.0628329,0,1.99E-16,20.04617805
0,510.0629119,0,1.42E-16,20.04618684
0,510.0629985,0,-7.39E-16,20.04619734
0,510.0630773,0,1.71E-16,20.04620783
